estado,municipio,juntas,income2020,calculo_ind,pob_tot,pob_ind,pob_no_ind,no_esp,por,por_ind,por_no_ind,por_no_esp,lat,lon,alt,pob,pob_male,pob_female,houses,ext,porcentaje_ext,densidad,localidades
17 Morelos,035 Xoxocotla,,,m,26508,23549,2944,15,1,0.888,0.111,0.001,18.68123452,-99.25036166,1003.241379,27805,13874,13918,6342,61.66766308,0.012639677,450.8846065,28
17 Morelos,029 Yautepec,,41241.42862,m,101456,24108,77241,107,1,0.238,0.761,0.001,18.8851028,-99.04402395,1255.570175,105780,51090,54673,30552,179.5973313,0.036811064,588.9842528,100
17 Morelos,030 Yecapixtla,,33665.22009,m,53383,9611,43756,16,1,0.18,0.82,0,18.860498,-98.86961705,1572.826087,56083,27612,28413,14652,173.2094418,0.035501774,323.787199,62
17 Morelos,031 Zacatepec,,45964.14852,m,34510,5646,28783,81,1,0.164,0.834,0.002,18.65225433,-99.20791458,941.1666667,36094,17231,18862,10566,30.74867404,0.006302384,1173.839235,21
17 Morelos,032 Zacualpan de Amilpas,,33350.3321,m,9518,2933,6585,0,1,0.308,0.692,0,18.80856452,-98.75243265,1736.434783,9965,4843,5095,2832,53.75551943,0.011017969,185.3763131,16
18 Nayarit,000 Nayarit,,51964.79333,,,,,,,,,,21.662801,-104.815334,739.4341323,1235144,607016,620014,361516,27856.47459,0.014207799,44.3507665,20
18 Nayarit,001 Acaponeta,,43389.22433,m,35433,10644,24628,161,1,0.3,0.695,0.005,22.4773759,-105.325761,231.8894472,37232,18478,18519,10864,1427.250512,0.051235863,26.08652068,138
18 Nayarit,002 Ahuacatlán,,47657.13762,m,14578,3421,11151,6,1,0.235,0.765,0,21.04929536,-104.5343028,963.6818182,15393,7544,7684,4824,504.8009259,0.018121494,30.49320873,51
18 Nayarit,003 Amatlán de Cañas,,44558.92614,m,10964,1587,9314,63,1,0.145,0.85,0.006,20.832013,-104.4156256,896.8666667,11536,5835,5647,3666,518.3390696,0.01860749,22.25570226,46
18 Nayarit,020 Bahía de Banderas,,54384.40943,m,176927,22902,152709,1316,1,0.129,0.863,0.007,20.80874549,-105.3030738,47.2629108,187600,93936,93082,55281,771.3535389,0.027690278,243.2503263,240
18 Nayarit,004 Compostela,,49815.69341,m,73081,2294,70680,107,1,0.031,0.967,0.001,21.14147377,-105.0981885,351.3471883,77401,38239,38628,23405,1880.482914,0.067506134,41.17878414,251
18 Nayarit,009 Del Nayar,,19792.42957,c,42387,39652,2613,122,1,0.935,0.062,0.003,22.13050024,-104.6598407,1053.266996,47547,22698,23312,8951,5142.441965,0.184604909,9.246579801,550
18 Nayarit,005 Huajicori,,23367.94996,c,11183,9601,1581,1,1,0.859,0.141,0,22.77190289,-105.2180937,794.5291829,12230,6010,5817,2801,2237.42317,0.080319682,5.466109481,174
18 Nayarit,006 Ixtlán del Río,,56589.63863,m,27697,2989,24530,178,1,0.108,0.886,0.006,21.03938518,-104.3274376,1187.77193,29298,14084,15102,8541,493.0144617,0.01769838,59.42827701,54
18 Nayarit,007 Jala,,37428.49574,m,18231,5593,12564,74,1,0.307,0.689,0.004,21.17736048,-104.3944875,1326.053333,19321,9499,9724,5021,503.6172482,0.018079002,38.36445251,46
18 Nayarit,019 La Yesca,,31654.85796,c,12833,6294,6532,7,1,0.49,0.509,0.001,21.55434049,-104.1379514,1399.971302,13719,6282,6343,3342,4316.747623,0.154963889,3.178087115,345
18 Nayarit,010 Rosamorada,,36982.20279,m,31776,14189,17525,62,1,0.447,0.552,0.002,22.07541564,-105.2078748,81.19626168,33567,17038,16448,10219,1840.643861,0.06607598,18.23655337,68
18 Nayarit,011 Ruíz,,38965.22101,m,22755,6031,16687,37,1,0.265,0.733,0.002,21.9845945,-104.9616416,327.3240741,24096,12012,11882,6930,520.5951676,0.01868848,46.28548534,76
18 Nayarit,012 San Blas,,43745.523,m,39661,2809,36814,38,1,0.071,0.928,0.001,21.57895861,-105.3208714,87.90344828,41518,21203,20194,13009,867.1413037,0.031128896,47.87916321,92
18 Nayarit,013 San Pedro Lagunillas,,42968.96796,m,7365,642,6703,20,1,0.087,0.91,0.003,21.19924523,-104.7386669,1173.276596,7683,3899,3751,2470,515.6782862,0.018511972,14.89882395,27
18 Nayarit,014 Santa María del Oro,,44731.16969,m,23170,4189,18951,30,1,0.181,0.818,0.001,21.35383867,-104.5959773,996.2704082,24911,12380,12216,7149,1091.398785,0.039179358,22.82483757,120
18 Nayarit,015 Santiago Ixcuintla,,47945.68558,m,89792,2594,87193,5,1,0.029,0.971,0,21.8129769,-105.2430601,32.00763359,93981,47317,46408,28958,1727.838612,0.062026464,54.39223279,173
18 Nayarit,016 Tecuala,,45954.57179,m,35498,6973,28409,116,1,0.196,0.8,0.003,22.36637221,-105.5103712,6.267515924,37135,18752,18232,11687,1044.783521,0.037505949,35.54324818,94
18 Nayarit,017 Tepic,,60333.89289,m,403648,38400,364200,1048,1,0.095,0.902,0.003,21.57667121,-104.8849087,739.4507042,425924,205408,218682,126275,1602.647081,0.057532301,265.7628151,173
18 Nayarit,018 Tuxpan,,52525.2677,m,28751,206,28541,4,1,0.007,0.993,0,21.94673529,-105.2905799,10.69387755,30064,14944,15073,9494,313.9277325,0.011269471,95.76726389,26
18 Nayarit,008 Xalisco,,55968.49905,m,61456,5069,56372,15,1,0.082,0.917,0,21.41693853,-104.8813607,961.1633987,64988,31458,33270,18629,536.348812,0.019254009,121.6167512,106
19 Nuevo León,000 Nuevo León,,72930.70546,,,,,,,,,,25.65366132,-99.85366362,534.9672805,5783362,2883205,2888965,1655419,64156.20577,0.032721962,90.16184686,51
19 Nuevo León,001 Abasolo,,56249.75322,c,982,3,977,2,1,0.003,0.995,0.002,27.14699834,-101.311735,432.4146341,1022,509,466,363,46.87785203,0.000730683,63.44147334,14
19 Nuevo León,002 Agualeguas,,53573.78379,c,3264,62,3202,0,1,0.019,0.981,0,26.30559553,-99.64440028,231.6261682,3382,1617,1647,1275,980.8749131,0.015288855,3.447942194,62
19 Nuevo León,004 Allende,,68213.64024,m,33421,363,32853,205,1,0.011,0.983,0.006,25.3056513,-100.0060223,425.7325581,35289,17794,17428,10708,190.4508825,0.00296855,185.2918692,65
